AgentCode,FullName,Number of Policies,Historical Avg,Current Volume
5984D,Shea Jacob,5,1.67,0
8993C,Bernard Feder,39,3.55,2
7948C,Joel Schwimmer,5,1.0,1
9027C,Hillel Halpert,3,1.5,0
6532C,Mayer Simon,2,1.0,1
9750D,Steven Love,1,1.0,0
4749E,Moshe Steinmetz,3,1.0,1
4993E,Chanania Simon,1,1.0,0
6733D,Joel Appel,3,1.5,0
3732D,Robert Gardner,5,1.0,0
9278C,Binyomin Weisz,153,12.75,17
7280C,Benjamin Silberstein,15,1.67,1
6058E,Menachem Lowenbraun,6,2.0,0
4843E,Shloime Tessler,18,9.0,9
8288C,Burach Mandel,22,2.75,0
3314E,Binyomin Mezei,7,1.17,1
7608D,Kimberly Mcmahon,1,1.0,0
8660D,Michael Lapage,8,4.0,0
7268C,Israel Landau,1,1.0,0
1261E,Menachem Ungar,110,9.17,17
4038D,Paul Carag,31,3.1,6
3191E,Eric Cooper,7,1.17,0
1410E,Chaya Lebovits,3,1.5,0
8999D,Mayer Green,5,1.0,1
5709E,Thomas Kaye,1,1.0,0
89803,Russell Ward,5,2.5,0
4912D,Richard Warren,50,4.55,9
4350D,Steven Misdea,19,2.11,1
2462C,Edward Martin,10,1.67,0
5133C,David Kaplan,12,2.4,0
5051C,Christopher Szymanski,1,1.0,0
82243,Anthony Cicitta,4,1.0,0
92345,Alex Kreis,37,3.36,6
82385,Jonathan Self,2,1.0,0
19880,Ronald Duswalt,3,1.0,0
8839D,Erick Colon,40,3.64,10
5950E,Bradley Konawalik,12,2.4,3
2755D,Maureen Decker,58,5.27,8
3355E,Christopher Gaddis,2,1.0,0
3898E,Isaac Critchlow,2,1.0,0
83483,James Cote,10,2.0,2
54118,Elizabeth Ferguson,2,1.0,0
5710D,Alexander Casella,94,7.83,5
4811E,Christopher Davey,1,1.0,0
